Product Name,Price,Description,Image URL,Category,Product URL
La Roche-Posay Anthelios Fluid UVMune 400 Spf50 50ml,3200,"La Roche Posay Anthelios Shaka Fluid with spf50 is an ultra-resistant fluid that is a very high broad-spectrum sun protection fluid for a healthy glow effect. It is non-greasy, non eye stinging, water resistant, non-sticky with instant absorption and leaves no white marks and does not leave an ashy look. ",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/la-roche-posay-anthelios-fluid-uvmune-400-spf50-50ml
Mariprist,667,Â 1 tabletÂ containing MifepristoneÂ +4 tablets containingÂ misoprostal combinationÂ ,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/mariprist
PEP Tablets 90's,90,PEP (post-exposure prophylaxis) meansÂ taking medicine to prevent HIV after a possible exposure. PEP should be used only in emergency situations and must be started within 72 hours after a recent possible exposure to HIV. ,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/pep-tablets-90s
Postinor 2 Tablets 2's,200,"Postinor-2 is an emergency contraceptive designed to help prevent pregnancy after unprotected sex or contraceptive failure. Each pack contains 2 tablets, each with 0.75 mg of Levonorgestrel, a synthetic progestogen that works by delaying ovulation and preventing fertilization.Â How It WorksÂ Â Â Speak to a healthcare provider by calling +254 111 054 949Â Â Â Or upload a valid prescriptionÂ Â Â Â Â Â Â Â 1.Â Â Â Â If eligible, weâ€™ll add the product to your cartÂ Â Â Â Â Â Â Â Â 2.Â Â Â",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/postinor-2-tablets-2s
La Roche Lipikar Baume Ap+M 400ml,3560,"La Roche Posay Lipikar Baume AP+ has been designed to soothe and reduce dryness and flareups. It helps to re-balance the skinâ€™s Microbiome,Replenishes and fortifies the skinâ€™s protective barrier via two key ingredients - pure Shea Butter (20%) and Niacinamide. The Microresyl with its anti-relapse efficacy, spaces out flare-ups. ",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/la-roche-lipikar-baume-apm-400ml
Zelaton 15 Gel 30g,2107,"Zelaton 15 GelCream Has antibacterial and anti-inflammatory properties that help decrease the swelling and redness in Rosacea and Acne. Itâ€™s a non-comedogenic gel with 15% Azelaic acid and Niacinamide effective in managing hyperpigmentation, unclogging pores and evening out skin tone; including old post acne dark spots. Zelaton10 Gel is recommended for normal skin to mild cases of post acne spots Zelaton 15 Gel is for management of moderate case of Acne,Melasma,Rosacea,and Hyperpigmentation ",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/zelaton-15-gel-30g
La Roche-Posay Anthelios Shaka Spray Spf50 200ml,3764,"La Roche Posay Anthelios spray with spf50 is light, moisturizing very high broad-spectrum sun protection that is ideal for all skin types. Its light formula with a non-greasy finish makes it easy to apply. Its very water-resistant, has fast absorption with a virtually invisible finish and does not leave an ashy look. ",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/la-roche-posay-anthelios-shaka-spray-spf50-200ml
Uncover Aloe Invisible Sunscreen 80ml,2502,"This no white cast, lightweight SPF 50+ sunscreen infused with Hyaluronic Acid and African Aloe Vera is perfect for daily use. Protects skin from harmful UVA & UVB rays, prevents sun damage, premature skin ageing and dark spots, while keeping skin hydrated, moisturised and cool. Uncover Skincare has carefully been crafting this sunscreen for 2 years, studying the science of healthy skin with a team of formulation scientists in the worldâ€™s best labs to bring you the best quality products backed",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/uncover-aloe-invisible-sunscreen-80ml
Now Magnesium Glycinate Tablets 180's,5086,"Magnesium glycinate utilizes magnesium bound to the amino acid glycine, which facilitates intestinal absorption.* Magnesium is a mineral that is critical for energy production and metabolism, muscle contraction, nerve impulse transmission, and bone mineralization.* It is a required cofactor for an estimated 300 enzymes.* Among the processes that require magnesium are fat and protein production, as well as glucose metabolism.* Magnesium status is also important for regulation of calcium balance t",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/now-magnesium-glycinate-tablets-180s
La Roche-Posay Effaclar Duo(+) M 40ml,2535,"Effaclar duo(+) M is an Anti-blemishes Triple Corrective Care for Oily and Acne-Prone Skin, powered by microbiome science.. Order NOW from MYDAWA and we will deliver care straight to your doorstep. ",https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/la-roche-posay-effaclar-duo-m-40ml
Beauty And Skin Care,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/beauty-and-skin-care
Dermatological Skincare,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/dermatological-skincare
Family Planning,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/family-planning
MYDAWA,3188,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,Uncategorized,https://mydawa.com/products/femvive
Health Conditions,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/health-conditions
Iv Therapy,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/iv-therapy
Medical Devices,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/medical-devices
Mum And Baby,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/mum-and-baby
New On Mydawa,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/new-on-mydawa
Offers,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/offers
Pata Tiba Na Thao,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/pata-tiba-na-thao
Personal Care,3560,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/personal-care
Reproductive Health And Sexual,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/reproductive-health-and-sexual
Snacks And Drinks,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/snacks-and-drinks
Supplements And Nutrition,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/supplements-and-nutrition
Allergies Allergic Reactions,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/allergies-allergic-reactions
Anti Inflammatory Conditions,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/anti-inflammatory-conditions
Bladder And Urinary Health,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/bladder-and-urinary-health
Blood And Circulation Health,25411105494911000000,,https://storagemydawadocsprod.blob.core.windows.net/cmsimages/beauty_2025-09-10T142405.723Z.jpg,/,https://mydawa.com/products/blood-and-circulation-health
